# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 151K of event 'cycles'
# Event count (approx.): 553633736228
#
# Children      Self  Symbol                                          IPC   [IPC Coverage]
# ........  ........  ..............................................  ....................
#
     0.12%     0.11%  [.] cfree@GLIBC_2.2.5                           -      -            
     0.12%     0.12%  [.] BN_is_bit_set                               -      -            
     0.12%     0.01%  [.] BN_mod_mul_montgomery                       -      -            
     0.11%     0.11%  [.] sha512_block_data_order_avx2                -      -            
     0.11%     0.01%  [.] EVP_CipherInit_ex                           -      -            
     0.11%     0.11%  [.] BN_uadd                                     -      -            
     0.11%     0.02%  [.] __getpid                                    -      -            
     0.11%     0.11%  [.] ecp_nistz256_sqr_mont                       -      -            
     0.11%     0.11%  [.] bn_rshift_fixed_top                         -      -            
     0.11%     0.11%  [.] bn_sub_words                                -      -            
     0.10%     0.10%  [.] BN_rshift1                                  -      -            
     0.09%     0.00%  [.] 0x0000000000000111                          -      -            
     0.09%     0.07%  [.] bn_lshift_fixed_top                         -      -            
     0.09%     0.01%  [.] ossl_cipher_generic_einit                   -      -            
     0.09%     0.09%  [.] BN_num_bits                                 -      -            
     0.08%     0.01%  [.] cipher_hw_aesni_initkey                     -      -            
     0.07%     0.07%  [.] bn_wexpand                                  -      -            
     0.07%     0.07%  [.] aesni_set_encrypt_key                       -      -            
     0.07%     0.03%  [.] CRYPTO_zalloc                               -      -            
     0.07%     0.00%  [k] asm_sysvec_apic_timer_interrupt             -      -            
     0.07%     0.04%  [.] BN_copy                                     -      -            
     0.07%     0.00%  [.] 0xdaab4fa645a00c82                          -      -            
     0.07%     0.02%  [.] BN_add                                      -      -            
     0.07%     0.00%  [k] sysvec_apic_timer_interrupt                 -      -            
     0.06%     0.06%  [.] bn_correct_top                              -      -            
     0.06%     0.01%  [.] ossl_rsa_padding_check_PKCS1_type_2         -      -            
     0.06%     0.00%  [.] 0x97a3d7de160a4ea7                          -      -            
     0.06%     0.06%  [.] BN_CTX_end                                  -      -            
     0.06%     0.00%  [.] 0x00000000000001b1                          -      -            
     0.06%     0.00%  [.] 0x3c99b6223ae64ed0                          -      -            
     0.06%     0.05%  [.] ossl_rsaz_mod_exp_avx512_x2                 -      -            
     0.06%     0.06%  [.] __memset_avx512_unaligned_erms              -      -            
     0.06%     0.01%  [.] EVP_EncryptUpdate                           -      -            
     0.06%     0.06%  [.] aesni_ctr32_encrypt_blocks                  -      -            
     0.06%     0.05%  [.] BN_CTX_start                                -      -            
     0.06%     0.06%  [.] CRYPTO_clear_free                           -      -            
     0.05%     0.05%  [.] BN_ucmp                                     -      -            
     0.05%     0.00%  [.] ossl_rsa_sp800_56b_derive_params_from_pq    -      -            
     0.05%     0.05%  [.] BN_usub                                     -      -            
     0.05%     0.00%  [.] 0x82d01c9c9cf38a27                          -      -            
     0.05%     0.05%  [.] CRYPTO_malloc                               -      -            
     0.05%     0.05%  [.] BN_get_flags                                -      -            
     0.05%     0.05%  [.] RSA_padding_check_PKCS1_type_1              -      -            
     0.05%     0.05%  [.] _int_malloc                                 -      -            
     0.05%     0.05%  [.] ossl_rsaz_amm52x20_x1_ifma256               -      -            
     0.05%     0.00%  [.] EVP_DigestFinal_ex                          -      -            
     0.05%     0.00%  [k] __sysvec_apic_timer_interrupt               -      -            
     0.05%     0.00%  [k] hrtimer_interrupt                           -      -            
     0.04%     0.04%  [.] BN_is_zero                                  -      -            
     0.04%     0.04%  [.] __memmove_avx512_unaligned_erms             -      -            
     0.04%     0.00%  [.] BN_rshift                                   -      -            
     0.04%     0.00%  [.] HMAC_Final                                  -      -            
     0.04%     0.00%  [.] 0xe20ea75ec95218ca                          -      -            
     0.04%     0.04%  [.] ossl_sa_get                                 -      -            
     0.04%     0.04%  [k] entry_SYSCALL_64                            -      -            
     0.04%     0.00%  [k] __hrtimer_run_queues                        -      -            
