# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 554455153411
#
# Children      Self  Symbol                                          IPC   [IPC Coverage]
# ........  ........  ..............................................  ....................
#
     0.06%     0.00%  [k] sysvec_apic_timer_interrupt                 -      -            
     0.06%     0.00%  [.] 0xcebce01bdb197579                          -      -            
     0.06%     0.06%  [.] aesni_set_encrypt_key                       -      -            
     0.06%     0.06%  [.] ossl_sa_get                                 -      -            
     0.06%     0.06%  [.] __memmove_avx512_unaligned_erms             -      -            
     0.06%     0.01%  [.] ossl_rsa_padding_check_PKCS1_type_2         -      -            
     0.05%     0.05%  [.] aesni_ctr32_encrypt_blocks                  -      -            
     0.05%     0.00%  [.] 0x00000000000001b1                          -      -            
     0.05%     0.05%  [.] __memset_avx512_unaligned_erms              -      -            
     0.05%     0.05%  [.] _int_malloc                                 -      -            
     0.05%     0.00%  [.] 0x97a3d7de160a4ea7                          -      -            
     0.05%     0.00%  [k] __sysvec_apic_timer_interrupt               -      -            
     0.05%     0.05%  [.] BN_get_flags                                -      -            
     0.05%     0.00%  [k] hrtimer_interrupt                           -      -            
     0.05%     0.00%  [.] 0x82d01c9c9cf38a27                          -      -            
     0.05%     0.05%  [.] CRYPTO_clear_free                           -      -            
     0.05%     0.01%  [.] BN_rshift                                   -      -            
     0.05%     0.05%  [k] entry_SYSCALL_64                            -      -            
     0.05%     0.02%  [.] WPACKET_put_bytes__                         -      -            
     0.05%     0.00%  [.] ossl_ffc_params_validate_unverifiable_g     -      -            
     0.05%     0.00%  [.] EVP_DigestFinal_ex                          -      -            
     0.04%     0.00%  [.] i2d_DSA_SIG                                 -      -            
     0.04%     0.04%  [.] sha256_block_data_order_shaext              -      -            
     0.04%     0.03%  [.] drbg_ctr_get_ctx_params                     -      -            
     0.04%     0.04%  [.] BN_zero_ex                                  -      -            
     0.04%     0.04%  [.] ossl_rsaz_amm52x20_x1_ifma256               -      -            
     0.04%     0.00%  [k] __hrtimer_run_queues                        -      -            
     0.04%     0.00%  [.] 0x0000000000000051                          -      -            
     0.04%     0.04%  [.] BN_is_zero                                  -      -            
     0.04%     0.00%  [k] tick_nohz_handler                           -      -            
     0.04%     0.00%  [.] ossl_rsa_get_lcm                            -      -            
     0.04%     0.01%  [.] get_parent_reseed_count                     -      -            
     0.04%     0.00%  [.] ossl_cipher_generic_stream_update           -      -            
     0.04%     0.02%  [.] WPACKET_allocate_bytes                      -      -            
     0.03%     0.00%  [.] EVP_MD_fetch                                -      -            
     0.03%     0.00%  [.] HMAC_Final                                  -      -            
     0.03%     0.00%  [.] ossl_cipher_hw_generic_ctr                  -      -            
     0.03%     0.00%  [.] evp_generic_fetch                           -      -            
     0.03%     0.00%  [k] update_process_times                        -      -            
     0.03%     0.00%  [.] 0x7eb1177eac1323a0                          -      -            
     0.03%     0.00%  [.] inner_evp_generic_fetch.constprop.0         -      -            
     0.03%     0.00%  [.] 0xe20ea75ec95218ca                          -      -            
     0.03%     0.00%  [.] 0x0000000000000021                          -      -            
     0.03%     0.00%  [.] sha256_internal_final                       -      -            
     0.03%     0.00%  [.] 0xace7596ae10e158d                          -      -            
     0.03%     0.00%  [.] 0xe3d07f0d5638d028                          -      -            
     0.03%     0.00%  [.] 0xa9f78fe3bcc1b526                          -      -            
     0.03%     0.00%  [.] 0x978d842c1ab9d31c                          -      -            
     0.03%     0.00%  [.] 0xc53115a97053c2d8                          -      -            
     0.03%     0.00%  [.] 0x390e43aa410d12ee                          -      -            
     0.03%     0.00%  [.] 0x974775015e2e65cd                          -      -            
     0.03%     0.00%  [.] 0x3dc457c3175521d7                          -      -            
     0.03%     0.00%  [.] 0x5ec0e6127858cb09                          -      -            
     0.03%     0.00%  [.] 0x2e0d5ee57b5ebca9                          -      -            
     0.03%     0.01%  [.] BN_sub                                      -      -            
     0.03%     0.00%  [.] 0x7580fb7b9a264a4b                          -      -            
     0.03%     0.00%  [.] 0x5cae31d7764e2a42                          -      -            
     0.03%     0.01%  [k] entry_SYSCALL_64_after_hwframe              -      -            
     0.03%     0.00%  [.] 0x44eabf5aef7561d1                          -      -            
     0.03%     0.00%  [.] 0xbbede3b07d711659                          -      -            
     0.03%     0.03%  [.] bn_mul_normal                               -      -            
     0.03%     0.00%  [k] sched_tick                                  -      -            
     0.03%     0.00%  [.] 0xeb4ab7c78cb1b56b                          -      -            
     0.03%     0.00%  [.] 0xbf8f06e87e829bf6                          -      -            
     0.03%     0.03%  [.] CRYPTO_free                                 -      -            
     0.03%     0.00%  [.] 0xcd0ff0d2051761de                          -      -            
     0.03%     0.00%  [.] 0xa81a664bbc423001                          -      -            
     0.03%     0.00%  [.] ECDSA_size                                  -      -            
     0.03%     0.01%  [.] ecp_nistz256_get_affine.part.0              -      -            
     0.03%     0.00%  [.] 0x4753aece78894324                          -      -            
     0.03%     0.00%  [.] 0x7137449123ef65cd                          -      -            
     0.02%     0.02%  [.] ecp_nistz256_point_double                   -      -            
     0.02%     0.00%  [.] bn_set_words                                -      -            
     0.02%     0.00%  [.] 0xee9be3ed6f9b3dc7                          -      -            
     0.02%     0.00%  [.] 0x2b4bc0e5f17b104c                          -      -            
     0.02%     0.00%  [.] 0x380f9780da767eca                          -      -            
     0.02%     0.00%  [.] 0xe7ec75fb47e66ca0                          -      -            
     0.02%     0.00%  [.] 0xfca1e996671c210a                          -      -            
     0.02%     0.00%  [k] do_syscall_64                               -      -            
     0.02%     0.00%  [.] 0x46255e242dd7e016                          -      -            
     0.02%     0.00%  [.] 0x91f8c809feb96051                          -      -            
     0.02%     0.00%  [.] 0xa831c66d2db43210                          -      -            
     0.02%     0.00%  [.] 0xfaac9ce1d950ba7e                          -      -            
     0.02%     0.02%  [.] malloc_consolidate                          -      -            
     0.02%     0.00%  [.] BN_priv_rand_ex                             -      -            
     0.02%     0.00%  [.] ossl_encode_der_length                      -      -            
     0.02%     0.00%  [.] 0x78a5636f43172f60                          -      -            
     0.02%     0.00%  [.] 0x00007ffcfbb4c630                          -      -            
     0.02%     0.00%  [.] 0x47ece105a026d141                          -      -            
     0.02%     0.00%  [.] 0x1aca59cb418988f9                          -      -            
     0.02%     0.02%  [.] bn_init                                     -      -            
     0.02%     0.00%  [.] 0xe7bc3f5cd37b7be9                          -      -            
     0.02%     0.00%  [.] BN_MONT_CTX_set_locked                      -      -            
     0.02%     0.00%  [.] 0x542726ea41d7bab6                          -      -            
     0.02%     0.00%  [.] 0x66992350a20096c7                          -      -            
     0.02%     0.00%  [.] 0x6500f30563ffb94a                          -      -            
     0.02%     0.00%  [.] 0x5772671c7b8d2504                          -      -            
     0.02%     0.00%  [.] 0xd0b1e7548b4e07ad                          -      -            
     0.02%     0.00%  [.] 0xa4945694fcba8f03                          -      -            
     0.02%     0.00%  [.] 0xf7168c12971febf6                          -      -            
     0.02%     0.02%  [.] CRYPTO_calloc                               -      -            
     0.02%     0.00%  [.] 0x1f1bbb76c246c8d4                          -      -            
     0.02%     0.00%  [.] 0x5ec360c70dcbe026                          -      -            
     0.02%     0.00%  [.] 0x3c592793976f96c7                          -      -            
     0.02%     0.02%  [.] BN_consttime_swap                           -      -            
     0.02%     0.02%  [.] BN_with_flags                               -      -            
     0.02%     0.00%  [.] 0x6087852d93a09c8d                          -      -            
     0.02%     0.00%  [.] 0x3220bac8bfd79ffc                          -      -            
     0.02%     0.00%  [.] 0x906b39eb6668ca82                          -      -            
     0.02%     0.00%  [.] 0xf35f3d721a796412                          -      -            
     0.02%     0.00%  [.] ossl_dsa_generate_ffc_parameters            -      -            
     0.02%     0.00%  [.] ossl_ffc_params_FIPS186_4_generate          -      -            
     0.02%     0.01%  [.] BN_set_bit                                  -      -            
     0.02%     0.00%  [.] 0x6c9ed478e160fce4                          -      -            
     0.02%     0.00%  [.] evp_keymgmt_util_assign_pkey                -      -            
     0.02%     0.00%  [.] 0xa5cddecc3644faee                          -      -            
     0.02%     0.00%  [.] 0x79ba853f042a907b                          -      -            
     0.02%     0.00%  [.] generate_p                                  -      -            
     0.02%     0.00%  [.] BN_gcd                                      -      -            
     0.02%     0.00%  [.] 0x0000000000003f81                          -      -            
     0.02%     0.00%  [.] 0x9b4446ae6ad77b0f                          -      -            
     0.02%     0.00%  [.] 0x358174d60983556a                          -      -            
     0.02%     0.02%  [.] bn_powerx5                                  -      -            
     0.02%     0.00%  [.] 0xdac267aa94dbea05                          -      -            
     0.02%     0.00%  [.] 0x52c3f9b9caa2487c                          -      -            
     0.02%     0.00%  [.] 0x00007ffcfbb4c4f0                          -      -            
     0.02%     0.00%  [.] 0xa03b55388a1d449a                          -      -            
     0.02%     0.02%  [.] WPACKET_reserve_bytes                       -      -            
     0.02%     0.00%  [.] 0x6ec4a375dd798d6b                          -      -            
     0.02%     0.00%  [.] 0x8aa72a6d1e418990                          -      -            
     0.02%     0.00%  [.] 0x32caab7b40c72493                          -      -            
     0.02%     0.00%  [.] 0x68b7bf41b605d6bb                          -      -            
     0.02%     0.00%  [.] BN_new                                      -      -            
     0.02%     0.00%  [.] ecp_nistz256_inv_mod_ord                    -      -            
     0.02%     0.00%  [.] 0x7b7bbdf10969a816                          -      -            
     0.02%     0.02%  [.] SHA512_Update_thunk                         -      -            
     0.02%     0.00%  [.] WPACKET_start_sub_packet_at_offset_len__    -      -            
     0.02%     0.00%  [.] 0xacacfea5641293ff                          -      -            
     0.02%     0.00%  [.] 0x9f47259078379df2                          -      -            
     0.02%     0.02%  [.] pthread_rwlock_unlock@@GLIBC_2.34           -      -            
     0.02%     0.00%  [.] 0x9c0c496dbf9a7438                          -      -            
     0.02%     0.00%  [.] ossl_bn_check_prime                         -      -            
     0.02%     0.00%  [.] ossl_namemap_name2num_n                     -      -            
     0.02%     0.00%  [.] ossl_decode_der_dsa_sig                     -      -            
     0.02%     0.00%  [.] d2i_ECDSA_SIG                               -      -            
     0.02%     0.00%  [.] ossl_err_get_state_int                      -      -            
     0.02%     0.02%  [.] __strcmp_evex                               -      -            
     0.02%     0.00%  [.] 0xa3d16ed830a490d7                          -      -            
     0.02%     0.00%  [.] 0x8bfebd2d9f46ef3d                          -      -            
     0.02%     0.00%  [.] 0xbb24b9cfb959b6d2                          -      -            
     0.02%     0.00%  [.] 0x4ae6fdd3782318a8                          -      -            
     0.02%     0.00%  [.] BN_CTX_new_ex                               -      -            
     0.01%     0.00%  [.] 0xafc148c39eba38f2                          -      -            
     0.01%     0.00%  [.] ossl_decode_der_integer                     -      -            
     0.01%     0.00%  [.] 0x4bafbe905a348f77                          -      -            
     0.01%     0.00%  [.] ossl_cipher_generic_block_update            -      -            
     0.01%     0.00%  [.] 0x0000000000000101                          -      -            
     0.01%     0.00%  [.] 0x29db0f44f5e7827b                          -      -            
     0.01%     0.00%  [.] 0xb5ca49c08f1cdf33                          -      -            
     0.01%     0.00%  [.] 0xfd27526ae8cf4a73                          -      -            
     0.01%     0.00%  [.] BN_sqr                                      -      -            
     0.01%     0.01%  [.] memset@plt                                  -      -            
     0.01%     0.01%  [.] pthread_rwlock_rdlock@GLIBC_2.2.5           -      -            
     0.01%     0.00%  [.] 0x0000002000000020                          -      -            
     0.01%     0.00%  [.] 0xaceab9fd8da124e5                          -      -            
     0.01%     0.00%  [.] 0x0017fa96fdb4a8a1                          -      -            
     0.01%     0.00%  [.] EVP_MD_CTX_reset                            -      -            
     0.01%     0.00%  [.] 0xa86b9f56ee7622b5                          -      -            
     0.01%     0.00%  [.] 0x8bd8a730f390d5f8                          -      -            
     0.01%     0.00%  [.] 0x317e4dc548604f59                          -      -            
     0.01%     0.00%  [.] 0x75d714e6ebf5f4e2                          -      -            
     0.01%     0.00%  [.] HMAC_Init_ex.part.0                         -      -            
     0.01%     0.00%  [.] 0x5eeaf46403c6f001                          -      -            
     0.01%     0.00%  [.] 0x7c7b12f53ba6a8a1                          -      -            
     0.01%     0.00%  [.] 0xc6aacdb41a41249f                          -      -            
     0.01%     0.00%  [.] bn_sqr_fixed_top                            -      -            
     0.01%     0.01%  [k] __task_pid_nr_ns                            -      -            
     0.01%     0.00%  [k] __x64_sys_getpid                            -      -            
     0.01%     0.00%  [k] task_tick_fair                              -      -            
     0.01%     0.00%  [.] 0x2e53c8d2b176ae73                          -      -            
     0.01%     0.00%  [.] 0x20c51ae78e801ff7                          -      -            
     0.01%     0.00%  [.] EVP_MD_CTX_free                             -      -            
     0.01%     0.00%  [.] 0x7256667f13fc6f16                          -      -            
