# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 389391156896
#
# Children      Self  Symbol                                         IPC   [IPC Coverage]
# ........  ........  .............................................  ....................
#
     0.00%     0.00%  [.] BN_MONT_CTX_free                           -      -            
     0.00%     0.00%  [.] BN_secure_new                              -      -            
     0.00%     0.00%  [.] OPENSSL_init_crypto                        -      -            
     0.00%     0.00%  [.] 0x00000000000005f0                         -      -            
     0.00%     0.00%  [.] 0x0000ffff9b3c45f0                         -      -            
     0.00%     0.00%  [.] EVP_DigestUpdate                           -      -            
     0.00%     0.00%  [.] unlink_chunk.constprop.0                   -      -            
     0.00%     0.00%  [.] BN_set_word                                -      -            
     0.00%     0.00%  [.] sha256_block_armv8                         -      -            
     0.00%     0.00%  [.] BN_zero_ex                                 -      -            
     0.00%     0.00%  [.] EC_POINT_is_at_infinity                    -      -            
     0.00%     0.00%  [.] 0x00000000000005d4                         -      -            
     0.00%     0.00%  [.] 0x0000ffff9b3c45d4                         -      -            
     0.00%     0.00%  [.] dsa_get_params                             -      -            
     0.00%     0.00%  [.] evp_keymgmt_util_cache_keyinfo             -      -            
     0.00%     0.00%  [.] ERR_vset_error                             -      -            
     0.00%     0.00%  [.] ERR_set_error                              -      -            
     0.00%     0.00%  [.] rsa_get_blinding                           -      -            
     0.00%     0.00%  [.] rsa_verify                                 -      -            
     0.00%     0.00%  [k] sched_balance_softirq                      -      -            
     0.00%     0.00%  [.] time@plt                                   -      -            
     0.00%     0.00%  [.] BN_add_word                                -      -            
     0.00%     0.00%  [.] ERR_pop_to_mark                            -      -            
     0.00%     0.00%  [.] RSA_size                                   -      -            
     0.00%     0.00%  [.] CRYPTO_secure_allocated                    -      -            
     0.00%     0.00%  [.] WPACKET_init_static_len                    -      -            
     0.00%     0.00%  [.] BN_abs_is_word                             -      -            
     0.00%     0.00%  [.] BN_is_one                                  -      -            
     0.00%     0.00%  [.] BN_sub_word                                -      -            
     0.00%     0.00%  [.] ossl_ffc_params_cleanup                    -      -            
     0.00%     0.00%  [.] ossl_namemap_stored                        -      -            
     0.00%     0.00%  [.] pthread_once@@GLIBC_2.34                   -      -            
     0.00%     0.00%  [k] sched_balance_rq                           -      -            
     0.00%     0.00%  [k] sched_balance_domains                      -      -            
     0.00%     0.00%  [.] BN_bn2bin                                  -      -            
     0.00%     0.00%  [k] run_timer_softirq                          -      -            
     0.00%     0.00%  [.] memcmp                                     -      -            
     0.00%     0.00%  [.] bn_correct_top_consttime                   -      -            
     0.00%     0.00%  [.] EVP_CipherUpdate                           -      -            
     0.00%     0.00%  [.] pthread_once@plt                           -      -            
     0.00%     0.00%  [.] EVP_MD_CTX_get_size_ex                     -      -            
     0.00%     0.00%  [.] BN_clear                                   -      -            
     0.00%     0.00%  [.] OSSL_PARAM_set_uint64                      -      -            
     0.00%     0.00%  [.] bn_mul_comba8                              -      -            
     0.00%     0.00%  [.] BN_cmp                                     -      -            
     0.00%     0.00%  [.] ERR_set_debug                              -      -            
     0.00%     0.00%  [k] memcg1_commit_charge                       -      -            
     0.00%     0.00%  [k] __handle_mm_fault                          -      -            
     0.00%     0.00%  [k] __mem_cgroup_charge                        -      -            
     0.00%     0.00%  [k] alloc_anon_folio                           -      -            
     0.00%     0.00%  [k] charge_memcg                               -      -            
     0.00%     0.00%  [k] do_anonymous_page                          -      -            
     0.00%     0.00%  [k] do_mem_abort                               -      -            
     0.00%     0.00%  [k] do_page_fault                              -      -            
     0.00%     0.00%  [k] do_translation_fault                       -      -            
     0.00%     0.00%  [k] el0_da                                     -      -            
     0.00%     0.00%  [k] handle_mm_fault                            -      -            
     0.00%     0.00%  [k] handle_pte_fault                           -      -            
     0.00%     0.00%  [.] 0x004dffff9af53007                         -      -            
     0.00%     0.00%  [k] tmigr_handle_remote                        -      -            
     0.00%     0.00%  [.] 0x002dffff9aacebcf                         -      -            
     0.00%     0.00%  [.] generate_unverifiable_g                    -      -            
     0.00%     0.00%  [.] EVP_PKEY_encapsulate                       -      -            
     0.00%     0.00%  [.] OSSL_PARAM_construct_int                   -      -            
     0.00%     0.00%  [.] EVP_CIPHER_CTX_get_key_length              -      -            
     0.00%     0.00%  [.] CRYPTO_atomic_load_int                     -      -            
     0.00%     0.00%  [.] sha256_internal_init                       -      -            
     0.00%     0.00%  [.] 0x007affff9ae0622f                         -      -            
     0.00%     0.00%  [.] internal_ht_hash_fn                        -      -            
     0.00%     0.00%  [.] EC_GROUP_get0_order                        -      -            
     0.00%     0.00%  [.] EVP_MD_CTX_get0_md                         -      -            
     0.00%     0.00%  [.] pthread_getspecific@plt                    -      -            
     0.00%     0.00%  [.] EVP_CipherInit_ex                          -      -            
     0.00%     0.00%  [.] OSSL_PARAM_set_uint32                      -      -            
     0.00%     0.00%  [.] sha512_internal_init                       -      -            
     0.00%     0.00%  [.] RAND_OpenSSL                               -      -            
     0.00%     0.00%  [.] ossl_provider_ctx                          -      -            
     0.00%     0.00%  [.] strcpy                                     -      -            
     0.00%     0.00%  [.] EVP_CIPHER_CTX_get_iv_length               -      -            
     0.00%     0.00%  [.] evp_md_ctx_free_algctx                     -      -            
     0.00%     0.00%  [.] 0x003cffff9ae0622f                         -      -            
     0.00%     0.00%  [.] BN_lshift                                  -      -            
     0.00%     0.00%  [.] BN_CTX_secure_new_ex                       -      -            
     0.00%     0.00%  [.] ERR_new                                    -      -            
     0.00%     0.00%  [.] ossl_fnv1a_hash                            -      -            
     0.00%     0.00%  [.] BN_MONT_CTX_new                            -      -            
     0.00%     0.00%  [.] bn_get_words                               -      -            
     0.00%     0.00%  [.] BN_dup                                     -      -            
     0.00%     0.00%  [.] ossl_ffc_params_copy                       -      -            
     0.00%     0.00%  [.] DSA_free                                   -      -            
     0.00%     0.00%  [.] EVP_PKEY_free                              -      -            
     0.00%     0.00%  [.] EVP_MD_free                                -      -            
     0.00%     0.00%  [.] sha512_newctx                              -      -            
     0.00%     0.00%  [.] RSA_setup_blinding                         -      -            
     0.00%     0.00%  [.] CRYPTO_strdup                              -      -            
     0.00%     0.00%  [.] EVP_SIGNATURE_do_all_provided              -      -            
     0.00%     0.00%  [.] algorithm_do_this                          -      -            
     0.00%     0.00%  [.] construct_evp_method                       -      -            
     0.00%     0.00%  [.] evp_generic_do_all                         -      -            
     0.00%     0.00%  [.] ossl_algorithm_do_all                      -      -            
     0.00%     0.00%  [.] ossl_method_construct                      -      -            
     0.00%     0.00%  [.] ossl_method_construct_this                 -      -            
