# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 389675809010
#
# Children      Self  Symbol                                         IPC   [IPC Coverage]
# ........  ........  .............................................  ....................
#
     0.14%     0.14%  [.] bn_add_words                               -      -            
     0.13%     0.13%  [.] bn_correct_top                             -      -            
     0.13%     0.11%  [k] el0_svc                                    -      -            
     0.13%     0.00%  [k] el0t_64_sync                               -      -            
     0.13%     0.00%  [k] el0t_64_sync_handler                       -      -            
     0.12%     0.00%  [.] BN_mul                                     -      -            
     0.11%     0.02%  [.] ossl_cipher_generic_einit                  -      -            
     0.11%     0.08%  [.] BN_num_bits                                -      -            
     0.11%     0.03%  [.] bn_mul_fixed_top                           -      -            
     0.10%     0.10%  [.] ecp_nistz256_gather_w5                     -      -            
     0.10%     0.01%  [.] EVP_EncryptUpdate                          -      -            
     0.10%     0.04%  [.] ecp_nistz256_mul_mont                      -      -            
     0.08%     0.01%  [.] ossl_cipher_hw_aes_initkey                 -      -            
     0.08%     0.02%  [.] BN_copy                                    -      -            
     0.08%     0.08%  [.] __ecp_nistz256_div_by_2                    -      -            
     0.07%     0.04%  [.] bn_lshift_fixed_top                        -      -            
     0.07%     0.01%  [.] ossl_cipher_set_aes_initkey                -      -            
     0.07%     0.06%  [.] BN_rshift1                                 -      -            
     0.07%     0.07%  [.] aes_v8_set_encrypt_key                     -      -            
     0.07%     0.07%  [.] BN_is_bit_set                              -      -            
     0.07%     0.07%  [.] bn_wexpand                                 -      -            
     0.06%     0.00%  [.] ossl_cipher_generic_stream_update          -      -            
     0.06%     0.06%  [.] sha512_block_armv8                         -      -            
     0.06%     0.00%  [.] ossl_cipher_hw_generic_ctr                 -      -            
     0.06%     0.06%  [.] bn_rshift_fixed_top                        -      -            
     0.06%     0.02%  [.] CRYPTO_ctr128_encrypt_ctr32                -      -            
     0.06%     0.04%  [.] _int_malloc                                -      -            
     0.06%     0.06%  [.] bn_mul_words                               -      -            
     0.06%     0.04%  [.] BN_usub                                    -      -            
     0.06%     0.06%  [.] BN_num_bits_word                           -      -            
     0.06%     0.04%  [.] BN_CTX_start                               -      -            
     0.05%     0.01%  [.] BN_rshift                                  -      -            
     0.05%     0.01%  [.] BN_add                                     -      -            
     0.05%     0.00%  [.] ossl_rsa_sp800_56b_derive_params_from_pq   -      -            
     0.05%     0.05%  [.] RSA_padding_check_PKCS1_type_1             -      -            
     0.05%     0.01%  [.] cipher_hw_aes_arm_initkey                  -      -            
     0.05%     0.00%  [.] EVP_DigestFinal_ex                         -      -            
     0.05%     0.00%  [.] SHA512_Update_thunk                        -      -            
